,index,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,13405.0,7.482429,1.4148539,1.2190421,9.28363,0.4809588,225.80157,186.27306,1.0081937,3.735878,1.4177842,11.127883,5.0
1,13245.0,6.2367315,0.5372176,0.3013092,61.580204,0.16575934,21.124222,263.54495,1.0198625,2.8286033,1.3802673,12.480662,3.0
2,4760.0,8.680564,1.2462809,0.9988895,39.74747,0.3817159,75.31136,348.92334,1.0080723,3.7342587,0.7823353,9.99741,3.0
3,12552.0,10.382415,1.3315692,1.1697547,49.02556,0.23322995,77.18794,402.7458,1.0113931,3.9180965,1.766772,9.224346,3.0
4,3336.0,7.9140506,1.343834,0.5494555,28.56413,0.2800578,206.07085,353.70145,1.001581,3.787718,0.59249705,10.377962,3.0
5,11219.0,8.926023,0.56683564,0.041231364,55.24901,0.08586704,17.273758,154.00781,1.0257738,2.9973204,1.7735852,13.946547,3.0
6,3972.0,8.512589,1.1138967,0.49500945,26.74417,0.43992049,228.59395,251.59181,1.035827,3.998823,0.34644192,13.464105,4.0
7,7679.0,5.6472073,0.08411882,0.29851142,60.75704,0.11041683,188.65701,43.144096,1.0388963,2.8328493,1.3598944,12.967721,3.0
8,9797.0,7.364111,0.23594011,1.4001218,60.61545,0.06112507,9.295737,263.76645,1.0354091,3.0807538,1.5592368,12.336666,3.0
9,8183.0,8.164295,0.39280182,1.051432,60.825916,0.10582816,32.835976,319.99283,1.0269159,3.3882365,1.185308,9.857145,3.0
10,11988.0,11.772342,0.98011935,0.7949231,43.266537,0.29289976,64.1975,353.4742,1.0137022,3.872233,1.64346,11.887524,4.0
11,6925.0,6.188847,0.13102478,0.81237125,61.13212,0.024008103,29.140877,249.50113,1.038647,3.9015248,0.45138642,13.011281,3.0
12,12413.0,10.568306,1.3706768,0.6556003,38.081055,0.18829487,180.13141,370.36456,1.0153326,3.9364529,0.86077636,10.597593,3.0
13,1023.0,10.920725,0.6754687,0.75229275,61.217007,0.13030384,22.361328,388.16003,1.0157037,3.734804,1.4391817,10.941588,3.0
14,3465.0,10.931942,1.3456995,1.1290754,28.412832,0.2843208,101.8278,354.20602,0.99942935,3.942188,1.198487,10.281454,3.0
15,8887.0,8.715188,0.11383988,1.5918716,46.680992,0.020785687,8.912309,222.1122,1.0282688,2.8170586,1.937094,12.961086,3.0
16,2116.0,8.506821,0.69380903,0.47851688,57.914883,0.124347284,150.54816,266.6211,1.0184734,3.656995,0.9361718,10.457301,3.0
